name,order,coefficients,invertible,global_antiperiod_h,cycle_count,nonzero_cycle_count,half_antiperiodic_cycles,distinct_complement_pairs_twice,period_lengths
binary-k2-mask10,2,01,False,,3,2,0,2,1
binary-k2-mask01,2,10,True,,6,5,1,4,1;2
binary-k2-mask11,2,11,True,4,2,1,1,0,1;8
binary-k3-mask100,3,001,False,,3,2,0,2,1
binary-k3-mask010,3,010,False,,6,5,1,4,1;2
binary-k3-mask110,3,011,False,,2,1,1,0,1;8
binary-k3-mask001,3,100,True,,11,10,0,10,1;3
binary-k3-mask101,3,101,True,,5,4,2,2,1;2;8
binary-k3-mask011,3,110,True,,3,2,0,2,1;13
binary-k3-mask111,3,111,True,,3,2,0,2,1;13
binary-k4-mask1000,4,0001,False,,3,2,0,2,1
binary-k4-mask0100,4,0010,False,,6,5,1,4,1;2
binary-k4-mask1100,4,0011,False,,2,1,1,0,1;8
binary-k4-mask0010,4,0100,False,,11,10,0,10,1;3
binary-k4-mask1010,4,0101,False,,5,4,2,2,1;2;8
binary-k4-mask0110,4,0110,False,,3,2,0,2,1;13
binary-k4-mask1110,4,0111,False,,3,2,0,2,1;13
binary-k4-mask0001,4,1000,True,,24,23,3,20,1;2;4
binary-k4-mask1001,4,1001,True,40,2,1,1,0,1;80
binary-k4-mask0101,4,1010,True,8,6,5,5,0,1;16
binary-k4-mask1101,4,1011,True,,6,5,1,4,1;2;13;26
binary-k4-mask0011,4,1100,True,40,2,1,1,0,1;80
binary-k4-mask1011,4,1101,True,,12,11,3,8,1;4;8
binary-k4-mask0111,4,1110,True,,8,7,3,4,1;2;6;8;24
binary-k4-mask1111,4,1111,True,,6,5,1,4,1;26
binary-k5-mask10000,5,00001,False,,3,2,0,2,1
binary-k5-mask01000,5,00010,False,,6,5,1,4,1;2
binary-k5-mask11000,5,00011,False,,2,1,1,0,1;8
binary-k5-mask00100,5,00100,False,,11,10,0,10,1;3
binary-k5-mask10100,5,00101,False,,5,4,2,2,1;2;8
binary-k5-mask01100,5,00110,False,,3,2,0,2,1;13
binary-k5-mask11100,5,00111,False,,3,2,0,2,1;13
binary-k5-mask00010,5,01000,False,,24,23,3,20,1;2;4
binary-k5-mask10010,5,01001,False,,2,1,1,0,1;80
binary-k5-mask01010,5,01010,False,,6,5,5,0,1;16
binary-k5-mask11010,5,01011,False,,6,5,1,4,1;2;13;26
binary-k5-mask00110,5,01100,False,,2,1,1,0,1;80
binary-k5-mask10110,5,01101,False,,12,11,3,8,1;4;8
binary-k5-mask01110,5,01110,False,,8,7,3,4,1;2;6;8;24
binary-k5-mask11110,5,01111,False,,6,5,1,4,1;26
binary-k5-mask00001,5,10000,True,,51,50,0,50,1;5
binary-k5-mask10001,5,10001,True,,9,8,2,6,1;2;6;13;26;78
binary-k5-mask01001,5,10010,True,,5,4,2,2,1;8;26;104
binary-k5-mask11001,5,10011,True,,3,2,0,2,1;121
binary-k5-mask00101,5,10100,True,,5,4,2,2,1;2;80
binary-k5-mask10101,5,10101,True,,3,2,0,2,1;121
binary-k5-mask01101,5,10110,True,,3,2,0,2,1;121
binary-k5-mask11101,5,10111,True,,15,14,4,10,1;2;26
binary-k5-mask00011,5,11000,True,,3,2,0,2,1;121
binary-k5-mask10011,5,11001,True,,3,2,0,2,1;121
binary-k5-mask01011,5,11010,True,,5,4,2,2,1;2;80
binary-k5-mask11011,5,11011,True,,15,14,0,14,1;3;13;39
binary-k5-mask00111,5,11100,True,,9,8,2,6,1;4;13;52
binary-k5-mask10111,5,11101,True,,15,14,4,10,1;2;26
binary-k5-mask01111,5,11110,True,,15,14,4,10,1;20
binary-k5-mask11111,5,11111,True,,5,4,2,2,1;8;26;104
binary-k6-mask100000,6,000001,False,,3,2,0,2,1
binary-k6-mask010000,6,000010,False,,6,5,1,4,1;2
binary-k6-mask110000,6,000011,False,,2,1,1,0,1;8
binary-k6-mask001000,6,000100,False,,11,10,0,10,1;3
binary-k6-mask101000,6,000101,False,,5,4,2,2,1;2;8
