family,order,coefficients,invertible,global_antiperiod_h,cycle_id,word,length,half_antiperiodic,complement_partner_cycle_id
fibonacci,2,11,True,4,0,0,1,False,0
fibonacci,2,11,True,4,1,01120221,8,True,1
padovan,3,110,True,,0,0,1,False,0
padovan,3,110,True,,1,0010111220121,13,False,2
padovan,3,110,True,,2,0020222110212,13,False,1
tribonacci,3,111,True,,0,0,1,False,0
tribonacci,3,111,True,,1,0011211102021,13,False,2
tribonacci,3,111,True,,2,0022122201012,13,False,1
duotetranacci,4,1100,True,40,0,0,1,False,0
duotetranacci,4,1100,True,40,1,00010011012110021020122101011112220112120002002202122001201021120202222111022121,80,True,1
tritetranacci,4,1110,True,,0,0,1,False,0
tritetranacci,4,1110,True,,1,12,2,True,1
tritetranacci,4,1110,True,,2,011022,6,True,2
tritetranacci,4,1110,True,,3,00111201,8,False,4
tritetranacci,4,1110,True,,4,00222102,8,False,3
tritetranacci,4,1110,True,,5,01220211,8,True,5
tritetranacci,4,1110,True,,6,000101122122220012101021,24,False,7
tritetranacci,4,1110,True,,7,000202211211110021202012,24,False,6
tetranacci,4,1111,True,,0,0,1,False,0
tetranacci,4,1111,True,,1,1,1,False,2
tetranacci,4,1111,True,,2,2,1,False,1
tetranacci,4,1111,True,,3,00011212022012221101020021,26,False,4
tetranacci,4,1111,True,,4,00022121011021112202010012,26,False,3
tetranacci,4,1111,True,,5,00101211201110020212210222,26,True,5
duopentanacci,5,11000,True,,0,0,1,False,0
duopentanacci,5,11000,True,,1,0000100011001210100111012211010211120220221221001010111112222011121220001200102011221201002110202122200112012021022012121,121,False,2
duopentanacci,5,11000,True,,2,0000200022002120200222021122020122210110112112002020222221111022212110002100201022112102001220101211100221021012011021212,121,False,1
tripentanacci,5,11100,True,,0,0,1,False,0
tripentanacci,5,11100,True,,1,0102,4,True,1
tripentanacci,5,11100,True,,2,1122,4,True,2
tripentanacci,5,11100,True,,3,0010111220121,13,False,4
tripentanacci,5,11100,True,,4,0020222110212,13,False,3
tripentanacci,5,11100,True,,5,0000100111120010211001211011222120220111020202121021,52,False,6
tripentanacci,5,11100,True,,6,0000200222210020122002122022111210110222010101212012,52,False,5
tripentanacci,5,11100,True,,7,0001101222020112021010021120110022121221222220001201,52,False,8
tripentanacci,5,11100,True,,8,0002102000220211101022101202001221022001121211211111,52,False,7
tetrapentanacci,5,11110,True,,0,0,1,False,0
tetrapentanacci,5,11110,True,,1,1,1,False,2
tetrapentanacci,5,11110,True,,2,2,1,False,1
tetrapentanacci,5,11110,True,,3,00001011201111010021,20,False,4
tetrapentanacci,5,11110,True,,4,00002022102222020012,20,False,3
tetrapentanacci,5,11110,True,,5,00011120212221110201,20,False,7
tetrapentanacci,5,11110,True,,6,00012101110002120222,20,True,6
tetrapentanacci,5,11110,True,,7,00022210121112220102,20,False,5
tetrapentanacci,5,11110,True,,8,00100112210020022112,20,True,8
tetrapentanacci,5,11110,True,,9,00102101012212012121,20,False,11
tetrapentanacci,5,11110,True,,10,00110221221100122022,20,False,12
tetrapentanacci,5,11110,True,,11,00201202021121021212,20,False,9
tetrapentanacci,5,11110,True,,12,00211011002201121122,20,False,10
tetrapentanacci,5,11110,True,,13,01010220210202011012,20,True,13
tetrapentanacci,5,11110,True,,14,01222212110211112122,20,True,14
pentanacci,5,11111,True,,0,0,1,False,0
pentanacci,5,11111,True,,1,01220211,8,True,1
pentanacci,5,11111,True,,2,00122212010110021112102022,26,True,2
pentanacci,5,11111,True,,3,00001121211102202001001211211020111221111011111202020122100222000101212002201210120112012022110010200021,104,False,4
pentanacci,5,11111,True,,4,00002212122201101002002122122010222112222022222101010211200111000202121001102120210221021011220020100012,104,False,3
duohexanacci,6,110000,True,364,0,0,1,False,0
duohexanacci,6,110000,True,364,1,00000100001100012100100101101112112200201202210221012101100112101200110201212210001010011110122211011021121202000222002112020202222221111102222121110002210021010201112212201001211010021110202212221001101012111100222102110120211022021212200001200010200112201201210210012010102111120222022112210201012211101022111210220012120100021100202102220121121002001022011212120000020000220002120020020220222122110010210112011202120220022120210022010212112000202002222021112202201221210100011100122101010111111222220111121222000112001202010222112110200212202001222010112111200220202122220011120122021012201101212110000210002010022110210212012002102020122221011101122112010202112220201122212011002121020001220010120111021221200100201102212121,728,True,1
trihexanacci,6,111000,True,,0,0,1,False,0
trihexanacci,6,111000,True,,1,12,2,True,1
trihexanacci,6,111000,True,,2,00102111,8,False,3
trihexanacci,6,111000,True,,3,00201222,8,False,2
trihexanacci,6,111000,True,,4,01120221,8,True,4
trihexanacci,6,111000,True,,5,00012201021010002110201202,26,True,5
trihexanacci,6,111000,True,,6,00101211201110020212210222,26,True,6
trihexanacci,6,111000,True,,7,00110112222120022022111121,26,True,7
trihexanacci,6,111000,True,,8,00000100011101202200111212011200210220001120121000101011212211222112021101012212022201101022210102021021,104,False,9
trihexanacci,6,111000,True,,9,00000200022202101100222121022100120110002210212000202022121122111221012202021121011102202011120201012012,104,False,8
trihexanacci,6,111000,True,,10,00001100122110221201220002120202012120012021001001111120001020110202202111101002211212111211011122201201,104,False,13
trihexanacci,6,111000,True,,11,00001200100211120101001211101102222010010111122001212101210201002011220212110211200110212200221221222222,104,False,12
trihexanacci,6,111000,True,,12,00002100200122210202002122202201111020020222211002121202120102001022110121220122100220121100112112111111,104,False,11
trihexanacci,6,111000,True,,13,00002200211220112102110001210101021210021012002002222210002010220101101222202001122121222122022211102102,104,False,10
tetrahexanacci,6,111100,True,,0,0,1,False,0
tetrahexanacci,6,111100,True,,1,1,1,False,2
tetrahexanacci,6,111100,True,,2,2,1,False,1
tetrahexanacci,6,111100,True,,3,012,3,False,4
tetrahexanacci,6,111100,True,,4,021,3,False,3
tetrahexanacci,6,111100,True,,5,00001201001012121100212002201112102212221111021011010202001120211221000201220222,80,False,6
tetrahexanacci,6,111100,True,,6,00002102002021212200121001102221201121112222012022020101002210122112000102110111,80,False,5
tetrahexanacci,6,111100,True,,7,00011112012112120202211020110012220210020002222102122121010112201022002111012001,80,True,7
tetrahexanacci,6,111100,True,,8,000001001112202020111010002112010110202101201101120011002220100201020000220211021111121122200101012221211102201212210102120122122011221100012110121011110010221022222022000112121200020222100120200212102012002001220022111202212021222211210021,240,False,9
tetrahexanacci,6,111100,True,,9,000002002221101010222020001221020220101202102202210022001110200102010000110122012222212211100202021112122201102121120201210211211022112200021220212022220020112011111011000221212100010111200210100121201021001002110011222101121012111122120012,240,False,8
pentahexanacci,6,111110,True,,0,0,1,False,0
pentahexanacci,6,111110,True,,1,12,2,True,1
pentahexanacci,6,111110,True,,2,0000111202201022221200121210102111221111102122011001201011101010022021012102100101221000200221022110001220221211211100201,121,False,3
pentahexanacci,6,111110,True,,3,0000222101102011112100212120201222112222201211022002102022202020011012021201200202112000100112011220002110112122122200102,121,False,2
pentahexanacci,6,111110,True,,4,00000101120210020201121022012211010201010120111222122001222210012111201220120121001110000212022111012122021110222010121122121222200200120202200011022100222202222221102001000112210100122120211001100221221020121200020120222121020020110110100021,242,False,5
pentahexanacci,6,111110,True,,5,00000202210120010102212011021122020102020210222111211002111120021222102110210212002220000121011222021211012220111020212211212111100100210101100022011200111101111112201002000221120200211210122002200112112010212100010210111212010010220220200012,242,False,4
hexanacci,6,111111,True,364,0,0,1,False,0
hexanacci,6,111111,True,364,1,00000112121202201100100200021221210222011222211101011112002020121001201121100201112100202200012221211010220211222102010112211202220221010010211211220220222101222200222221222222010101002112000111000020212122102201021012001120121110022020001001212000220121222110222202101012200211012102002200121012110211020011122120201022100210112102111021020210210011220002010000120000022121210110220020010001211212011102211112220202222100101021200210221220010222120010110002111212202011012211120102022112210111011202002012212211011011120211110011111211111102020200122100022200001012121120110201202100221021222001101000200212100011021211122011110120202110012202120100110021202122012201002221121010201120012022120122201201012012002211000102000021,728,True,1
