family,period,modulus,start_one_based,seed_text,recurrence_coefficients_oldest_first,oeis_signature_newest_first,period_valid_for_recurrence,terms,gcd_normalized_terms,generating_function_offset_0,oeis_search_query
padovan,1112201210010,3,1,111,"1,1,0","0,1,1",True,"1,1,1,2,2,3,4,5,7,9,12,16,21,28,37,49,65,86,114,151,200,265,351,465,616,816,1081,1432,1897,2513,3329,4410,5842,7739,10252,13581,17991,23833,31572,41824,55405,73396,97229,128801,170625,226030,299426,396655,525456,696081","1,1,1,2,2,3,4,5,7,9,12,16,21,28,37,49,65,86,114,151,200,265,351,465,616,816,1081,1432,1897,2513,3329,4410,5842,7739,10252,13581,17991,23833,31572,41824,55405,73396,97229,128801,170625,226030,299426,396655,525456,696081",(1 + x)/(1 - x^2 - x^3),"1,1,1,2,2,3,4,5,7,9,12,16"
padovan,1112201210010,3,2,112,"1,1,0","0,1,1",True,"1,1,2,2,3,4,5,7,9,12,16,21,28,37,49,65,86,114,151,200,265,351,465,616,816,1081,1432,1897,2513,3329,4410,5842,7739,10252,13581,17991,23833,31572,41824,55405,73396,97229,128801,170625,226030,299426,396655,525456,696081,922111","1,1,2,2,3,4,5,7,9,12,16,21,28,37,49,65,86,114,151,200,265,351,465,616,816,1081,1432,1897,2513,3329,4410,5842,7739,10252,13581,17991,23833,31572,41824,55405,73396,97229,128801,170625,226030,299426,396655,525456,696081,922111",(1 + x + x^2)/(1 - x^2 - x^3),"1,1,2,2,3,4,5,7,9,12,16,21"
padovan,1112201210010,3,3,122,"1,1,0","0,1,1",True,"1,2,2,3,4,5,7,9,12,16,21,28,37,49,65,86,114,151,200,265,351,465,616,816,1081,1432,1897,2513,3329,4410,5842,7739,10252,13581,17991,23833,31572,41824,55405,73396,97229,128801,170625,226030,299426,396655,525456,696081,922111,1221537","1,2,2,3,4,5,7,9,12,16,21,28,37,49,65,86,114,151,200,265,351,465,616,816,1081,1432,1897,2513,3329,4410,5842,7739,10252,13581,17991,23833,31572,41824,55405,73396,97229,128801,170625,226030,299426,396655,525456,696081,922111,1221537",(1 + 2*x + x^2)/(1 - x^2 - x^3),"1,2,2,3,4,5,7,9,12,16,21,28"
padovan,1112201210010,3,4,220,"1,1,0","0,1,1",True,"2,2,0,4,2,4,6,6,10,12,16,22,28,38,50,66,88,116,154,204,270,358,474,628,832,1102,1460,1934,2562,3394,4496,5956,7890,10452,13846,18342,24298,32188,42640,56486,74828,99126,131314,173954,230440,305268,404394,535708,709662,940102","1,1,0,2,1,2,3,3,5,6,8,11,14,19,25,33,44,58,77,102,135,179,237,314,416,551,730,967,1281,1697,2248,2978,3945,5226,6923,9171,12149,16094,21320,28243,37414,49563,65657,86977,115220,152634,202197,267854,354831,470051",(2 + 2*x - 2*x^2)/(1 - x^2 - x^3),"2,2,0,4,2,4,6,6,10,12,16,22"
padovan,1112201210010,3,5,201,"1,1,0","0,1,1",True,"2,0,1,2,1,3,3,4,6,7,10,13,17,23,30,40,53,70,93,123,163,216,286,379,502,665,881,1167,1546,2048,2713,3594,4761,6307,8355,11068,14662,19423,25730,34085,45153,59815,79238,104968,139053,184206,244021,323259,428227,567280","2,0,1,2,1,3,3,4,6,7,10,13,17,23,30,40,53,70,93,123,163,216,286,379,502,665,881,1167,1546,2048,2713,3594,4761,6307,8355,11068,14662,19423,25730,34085,45153,59815,79238,104968,139053,184206,244021,323259,428227,567280",(2 - x^2)/(1 - x^2 - x^3),"2,0,1,2,1,3,3,4,6,7,10,13"
padovan,1112201210010,3,6,012,"1,1,0","0,1,1",True,"0,1,2,1,3,3,4,6,7,10,13,17,23,30,40,53,70,93,123,163,216,286,379,502,665,881,1167,1546,2048,2713,3594,4761,6307,8355,11068,14662,19423,25730,34085,45153,59815,79238,104968,139053,184206,244021,323259,428227,567280,751486","0,1,2,1,3,3,4,6,7,10,13,17,23,30,40,53,70,93,123,163,216,286,379,502,665,881,1167,1546,2048,2713,3594,4761,6307,8355,11068,14662,19423,25730,34085,45153,59815,79238,104968,139053,184206,244021,323259,428227,567280,751486",(x + 2*x^2)/(1 - x^2 - x^3),"0,1,2,1,3,3,4,6,7,10,13,17"
padovan,1112201210010,3,7,121,"1,1,0","0,1,1",True,"1,2,1,3,3,4,6,7,10,13,17,23,30,40,53,70,93,123,163,216,286,379,502,665,881,1167,1546,2048,2713,3594,4761,6307,8355,11068,14662,19423,25730,34085,45153,59815,79238,104968,139053,184206,244021,323259,428227,567280,751486,995507","1,2,1,3,3,4,6,7,10,13,17,23,30,40,53,70,93,123,163,216,286,379,502,665,881,1167,1546,2048,2713,3594,4761,6307,8355,11068,14662,19423,25730,34085,45153,59815,79238,104968,139053,184206,244021,323259,428227,567280,751486,995507",(1 + 2*x)/(1 - x^2 - x^3),"1,2,1,3,3,4,6,7,10,13,17,23"
padovan,1112201210010,3,8,210,"1,1,0","0,1,1",True,"2,1,0,3,1,3,4,4,7,8,11,15,19,26,34,45,60,79,105,139,184,244,323,428,567,751,995,1318,1746,2313,3064,4059,5377,7123,9436,12500,16559,21936,29059,38495,50995,67554,89490,118549,157044,208039,275593,365083,483632,640676","2,1,0,3,1,3,4,4,7,8,11,15,19,26,34,45,60,79,105,139,184,244,323,428,567,751,995,1318,1746,2313,3064,4059,5377,7123,9436,12500,16559,21936,29059,38495,50995,67554,89490,118549,157044,208039,275593,365083,483632,640676",(2 + x - 2*x^2)/(1 - x^2 - x^3),"2,1,0,3,1,3,4,4,7,8,11,15"
padovan,1112201210010,3,9,100,"1,1,0","0,1,1",True,"1,0,0,1,0,1,1,1,2,2,3,4,5,7,9,12,16,21,28,37,49,65,86,114,151,200,265,351,465,616,816,1081,1432,1897,2513,3329,4410,5842,7739,10252,13581,17991,23833,31572,41824,55405,73396,97229,128801,170625","1,0,0,1,0,1,1,1,2,2,3,4,5,7,9,12,16,21,28,37,49,65,86,114,151,200,265,351,465,616,816,1081,1432,1897,2513,3329,4410,5842,7739,10252,13581,17991,23833,31572,41824,55405,73396,97229,128801,170625",(1 - x^2)/(1 - x^2 - x^3),"1,0,0,1,0,1,1,1,2,2,3,4"
padovan,1112201210010,3,10,001,"1,1,0","0,1,1",True,"0,0,1,0,1,1,1,2,2,3,4,5,7,9,12,16,21,28,37,49,65,86,114,151,200,265,351,465,616,816,1081,1432,1897,2513,3329,4410,5842,7739,10252,13581,17991,23833,31572,41824,55405,73396,97229,128801,170625,226030","0,0,1,0,1,1,1,2,2,3,4,5,7,9,12,16,21,28,37,49,65,86,114,151,200,265,351,465,616,816,1081,1432,1897,2513,3329,4410,5842,7739,10252,13581,17991,23833,31572,41824,55405,73396,97229,128801,170625,226030",(x^2)/(1 - x^2 - x^3),"0,0,1,0,1,1,1,2,2,3,4,5"
